RMA No.,RMA Date,Name,Account No.,Email Address,Requested On,Items,Quantity,Status,Receiving Center,Last updated on:
2505027,2025-05-16 01:00 PM,Quick Quick Locksmith,,quickquicklocksmith@gmail.com,2025-05-16 10:40 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-16 01:00 PM
2505032,2025-05-20 12:23 PM,Wesco,,Whitney.Green@anixter.com,2025-05-15 12:57 PM,1,1,Completed,SECO-LARM USA INC,2025-06-10 01:53 PM
2505026,2025-05-16 01:00 PM,Carolina Wiring Service,,Adam@wiredbycws.com,2025-05-15 08:37 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-16 01:00 PM
2505048,2025-05-20 12:37 PM,EOS Trading Corp,,rma.vendors@eostrading.com,2025-05-15 08:21 AM,5,5,Issued RMA,SECO-LARM USA INC,2025-05-20 12:37 PM
2505047,2025-05-20 12:37 PM,EOS Trading Corp,,rma.vendors@eostrading.com,2025-05-15 07:56 AM,5,5,Issued RMA,SECO-LARM USA INC,2025-05-20 12:37 PM
2505031,2025-05-20 12:23 PM,APA Inc,,rma@apainc.ca,2025-05-15 07:19 AM,5,5,Completed,SECO-LARM USA INC,2025-06-19 01:34 PM
2505023,2025-05-14 08:02 AM,"ELITE TECH GROUP, INC.",,harry@securityzonepr.com,2025-05-14 06:54 AM,1,1,Completed,SECO-LARM USA INC,2025-06-25 10:27 AM
2504059,2025-05-13 02:37 PM,SAC TECNOLOGIA,,mordonez@sactecnologia.com,2025-05-13 02:37 PM,1,2,Completed,SECO-LARM USA INC,2025-06-09 02:16 PM
2505024,2025-05-14 03:52 PM,IML Security Supply,,alma.arredondo@imlss.com,2025-05-13 11:55 AM,1,2,Completed,SECO-LARM USA INC,2025-06-25 10:28 AM
2505025,2025-05-16 12:59 PM,Anixter - Canada,,canada.nrc@anixter.com,2025-05-13 09:11 AM,1,1,Completed,SECO-LARM USA INC,2025-06-13 10:52 AM
2505018,2025-05-12 02:56 PM,Hartz Lock Co.,,hartzlock@yahoo.com,2025-05-12 09:33 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-12 02:56 PM
2505017,2025-05-12 02:56 PM,James Morris,,jemorris@bellsouth.net,2025-05-12 08:55 AM,1,1,Completed,SECO-LARM USA INC,2025-06-10 02:32 PM
2505016,2025-05-12 02:55 PM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-05-12 08:55 AM,1,1,Completed,SECO-LARM USA INC,2025-07-25 12:03 PM
2505015,2025-05-12 07:43 AM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-05-12 07:08 AM,1,1,Completed,SECO-LARM USA INC,2025-07-15 03:52 PM
2505022,2025-05-12 03:20 PM,Wesco / Anixter,,ra-west-tri-edus@anixter.wescodist.com,2025-05-09 01:05 PM,1,5,Completed,SECO-LARM USA INC,2025-06-25 10:27 AM
2505021,2025-05-12 03:20 PM,A1 SECURITY SUPPLY,,WILL@A1ALARM.COM,2025-05-09 12:16 PM,1,1,Waiting to ship out,SECO-LARM USA INC,2025-06-23 10:01 AM
2505014,2025-05-12 07:42 AM,T.S DISTRIBUTORS,,etorres@tsdistributors,2025-05-09 07:44 AM,1,1,Completed,SECO-LARM USA INC,2025-06-02 04:06 PM
2505013,2025-05-12 07:41 AM,Lockey Suppy,,Jay@lockeysupply.com,2025-05-08 02:23 PM,1,2,Completed,SECO-LARM USA INC,2025-06-10 02:17 PM
2505012,2025-05-12 07:41 AM,DON'S REPAIR SERVICE,,DONM1947@HOTMAIL.COM,2025-05-08 02:14 PM,2,2,Completed,SECO-LARM USA INC,2025-06-11 04:32 PM
2505020,2025-05-12 03:19 PM,SECURITY EQUIPMENT SUPPLY,,RETURNS.MEMPHIS@SESONLINE.COM,2025-05-06 02:45 PM,1,4,Completed,SECO-LARM USA INC,2025-06-25 10:27 AM
2505019,2025-05-12 03:18 PM,SECURITY EQUIPMENT SUPPLY,,returns.indianapolis@sesonline.com,2025-05-06 01:12 PM,1,1,Completed,SECO-LARM USA INC,2025-06-25 10:26 AM
2505010,2025-05-08 04:10 PM,Affordable Gate Systems,,keith.affordablegates@gmail.com,2025-05-02 05:27 PM,1,2,Completed,SECO-LARM USA INC,2025-06-02 04:23 PM
2505011,2025-05-12 07:40 AM,ELECTRONIC PARTS SPECIALISTS,,electrtonicparts@msn.com,2025-05-02 01:32 PM,2,2,Issued RMA,SECO-LARM USA INC,2025-05-12 07:40 AM
2505009,2025-05-02 05:00 PM,ADA Entrance Solutions,,joey@adaentrancesolutions.com,2025-05-02 11:41 AM,1,1,Completed,SECO-LARM USA INC,2025-06-02 04:07 PM
2505008,2025-05-02 07:56 AM,Wicked Core,,deborah@wicked-core.com,2025-05-02 07:49 AM,1,1,Completed,SECO-LARM USA INC,2025-06-10 02:24 PM
2505005,2025-05-02 07:40 AM,Wesco/Anixter,,misty.hayes@anixter.com,2025-05-01 09:59 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-02 07:40 AM
2505007,2025-05-02 07:55 AM,The Systems Depot,,jessica.walling@sdepot.com,2025-05-01 09:34 AM,1,1,Completed,SECO-LARM USA INC,2025-07-09 08:28 AM
2505006,2025-05-02 07:55 AM,Wesco,,Whitney.Green@anixter.com,2025-05-01 06:24 AM,1,1,Completed,SECO-LARM USA INC,2025-06-09 02:14 PM
2505004,2025-05-02 07:35 AM,"Logical Decisions, Inc",,peggy@ldi.com,2025-04-30 12:09 PM,1,1,Completed,SECO-LARM USA INC,2025-05-20 01:22 PM
2504058,2025-04-30 11:55 AM,BHC INTEGRATED SUPPORT SERVICES,,MDYKES@ESC-SUPPLY.COM,2025-04-29 12:53 PM,1,1,Completed,SECO-LARM USA INC,2025-06-13 11:03 AM
2505003,2025-05-02 07:31 AM,"Silmar Electronics, Inc.",,cliles@silmarelectronics.com,2025-04-29 12:21 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-02 07:31 AM
2505002,2025-05-02 07:31 AM,Canal Alarm Devices,,fahad.k@canalalarm.com,2025-04-29 10:20 AM,1,1,Completed,SECO-LARM USA INC,2025-05-20 01:20 PM
2505001,2025-05-02 07:30 AM,Telepro Communications,,ggarcia@teleprocommunications.com,2025-04-29 08:44 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-05-02 07:30 AM
2504057,2025-04-29 07:41 AM,BHC INTEGRATED SUPPORT SERVICES,,MDYKES@ESC-SUPPLY.COM,2025-04-29 06:02 AM,1,1,Completed,SECO-LARM USA INC,2025-06-13 11:04 AM
2504055,2025-04-28 03:30 PM,"Countryside Locksmith, LLC",,dennis@cslock.com,2025-04-28 02:46 PM,2,2,Issued RMA,SECO-LARM USA INC,2025-04-28 03:30 PM
2504056,2025-04-29 07:40 AM,PIONEER MUSIC COMPANY,,WARRANTY@PMCAV.COM,2025-04-28 10:46 AM,1,1,Completed,SECO-LARM USA INC,2025-06-13 10:50 AM
2505046,2025-05-20 12:37 PM,EOS Trading Corp,,rma.vendors@eostrading.com,2025-04-28 09:17 AM,4,4,Issued RMA,SECO-LARM USA INC,2025-05-20 12:37 PM
2505045,2025-05-20 12:36 PM,EOS Trading Corp,,rma.vendors@eostrading.com,2025-04-28 09:11 AM,5,5,Issued RMA,SECO-LARM USA INC,2025-05-20 12:36 PM
2504050,2025-04-28 08:50 AM,philip Dinnis,,pdinnis@gmail.com,2025-04-28 08:13 AM,1,1,Completed,SECO-LARM USA INC,2025-06-10 02:26 PM
2504051,2025-04-28 08:51 AM,CCTV.NET,,hovik@cctv.net,2025-04-25 04:53 PM,1,2,Completed,SECO-LARM USA INC,2025-06-13 04:20 PM
2504052,2025-04-28 08:51 AM,ELECTRONIC ENTRY DISTRIBUTORS,,rmartin@electronicentrydistributors.com,2025-04-25 03:08 PM,1,1,Completed,SECO-LARM USA INC,2025-06-10 02:21 PM
2504053,2025-04-28 08:51 AM,Twin Stone,,yarlin@twinstonemarble.com,2025-04-25 09:12 AM,1,1,Completed,SECO-LARM USA INC,2025-06-06 10:05 AM
2504054,2025-04-28 08:52 AM,APA DISTRIBUTION,,josm@apainc.ca,2025-04-24 11:42 AM,2,2,Completed,SECO-LARM USA INC,2025-06-25 10:26 AM
2504049,2025-04-24 11:33 AM,Canal Alarm Devices,,fahad.k@canalalarm.com,2025-04-23 12:49 PM,1,1,Completed,SECO-LARM USA INC,2025-06-10 02:11 PM
2504047,2025-04-23 09:28 AM,JPC Security,,Mark@jpconstructs.com,2025-04-23 09:28 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-04-23 09:28 AM
2504048,2025-04-24 11:33 AM,Crime Prevention Technologies,,dandieterle9@gmail.com,2025-04-23 08:56 AM,1,1,Completed,SECO-LARM USA INC,2025-05-20 01:16 PM
2504046,2025-04-23 08:56 AM,SECURITY EQUIPMENT SUPPLY,,cclendenen@sesonline.com,2025-04-23 07:24 AM,1,1,Waiting to ship out,SECO-LARM USA INC,2025-07-14 11:42 AM
2504045,2025-04-23 08:56 AM,Wesco,,Whitney.Green@anixter.com,2025-04-22 08:41 AM,1,1,Completed,SECO-LARM USA INC,2025-06-10 02:31 PM
2504044,2025-04-23 08:47 AM,Remote Access Sales,,peter@remoteaccesssales.com,2025-04-22 07:52 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 04:42 PM
2504043,2025-04-23 08:47 AM,Texas Safe and Lock,,sales@texassafeandlock.com,2025-04-22 07:36 AM,1,2,Completed,SECO-LARM USA INC,2025-05-20 01:18 PM
2504042,2025-04-23 08:47 AM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-04-21 10:13 AM,1,1,Completed,SECO-LARM USA INC,2025-07-15 03:52 PM
2504041,2025-04-21 09:20 AM,QUIKTRIP FACILITY SUPPORT,,jpratt@sagenet.com,2025-04-21 06:17 AM,2,2,Completed,SECO-LARM USA INC,2025-06-10 02:17 PM
2504038,2025-04-21 09:19 AM,Southwest automated security,,dwalter@southwestautomated.com,2025-04-18 11:50 AM,1,1,Completed,SECO-LARM USA INC,2025-06-09 01:20 PM
2504039,2025-04-21 09:20 AM,donald taylor,,taylordr61@yahoo.com,2025-04-18 10:18 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 04:36 PM
2504040,2025-04-21 09:20 AM,Alarmax,,Mheller@alarmax.com,2025-04-18 05:39 AM,1,3,Completed,SECO-LARM USA INC,2025-05-13 01:19 PM
2504032,2025-04-17 01:59 PM,AVX Tech Warehouse,,warehouse@avx-tech.com,2025-04-17 01:03 PM,1,1,Completed,SECO-LARM USA INC,2025-06-25 04:20 PM
2505044,2025-05-20 12:36 PM,EOS Trading Corp,,rma.vendors@eostrading.com,2025-04-17 12:24 PM,4,4,Issued RMA,SECO-LARM USA INC,2025-05-20 12:36 PM
2505043,2025-05-20 12:36 PM,EOS Trading Corp,,rma.vendors@eostrading.com,2025-04-17 11:58 AM,5,5,Completed,SECO-LARM USA INC,2025-07-07 10:32 AM
2505042,2025-05-20 12:36 PM,EOS Trading Corp,,rma.vendors@eostrading.com,2025-04-17 10:50 AM,5,5,Issued RMA,SECO-LARM USA INC,2025-05-20 12:36 PM
2505041,2025-05-20 12:36 PM,EOS Trading Corp,,rma.vendors@eostrading.com,2025-04-17 10:27 AM,5,5,Issued RMA,SECO-LARM USA INC,2025-05-20 12:36 PM
2504033,2025-04-18 08:46 AM,James Marra,,jamiemarra@aol.com,2025-04-16 04:40 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-04-18 08:46 AM
2504034,2025-04-18 08:47 AM,T.S DISTRIBUTORS,,etorres@tsdistributors,2025-04-16 12:11 PM,1,1,Completed,SECO-LARM USA INC,2025-05-13 07:48 AM
2504037,2025-04-18 09:02 AM,Alarmax,,Ntaylor@alarmax.com,2025-04-16 11:30 AM,2,2,Completed,SECO-LARM USA INC,2025-06-25 10:23 AM
2504036,2025-04-18 09:02 AM,Gates and controls,,sacramento@gatesandcontrols.com,2025-04-16 11:18 AM,1,1,Completed,SECO-LARM USA INC,2025-06-09 01:20 PM
2504035,2025-04-18 09:02 AM,BANNER SOLUTIONS,,micki.mitchen@bannersolutions.com,2025-04-16 11:14 AM,1,1,Completed,SECO-LARM USA INC,2025-06-09 01:19 PM
2504031,2025-04-16 02:53 PM,Security Equipment Supply,,mdaugherty@sesonline.com,2025-04-16 11:02 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 07:49 AM
2504030,2025-04-16 09:18 AM,silmar electronics,,MSOTO@SILMARELECTRONICS.COM,2025-04-16 08:15 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-04-16 09:18 AM
2504029,2025-04-16 09:18 AM,silmar electronics,,MSOTO@SILMARELECTRONICS.COM,2025-04-16 08:11 AM,1,1,Completed,SECO-LARM USA INC,2025-05-14 04:27 PM
2504028,2025-04-16 08:48 AM,ALARMAX DISTRIBUTORS,,LOWENS@ALARMAX.COM,2025-04-16 05:43 AM,1,15,Completed,SECO-LARM USA INC,2025-06-09 01:18 PM
2504027,2025-04-15 12:01 PM,Anixter - Canada,,canada.nrc@anixter.com,2025-04-15 11:09 AM,1,1,Completed,SECO-LARM USA INC,2025-06-09 01:14 PM
2504026,2025-04-15 12:00 PM,Crime Prevention Technologies,,dandieterle9@gmail.com,2025-04-15 09:34 AM,1,1,Completed,SECO-LARM USA INC,2025-05-20 01:14 PM
2504025,2025-04-15 11:57 AM,Automated Security Services,,automated@comcast.net,2025-04-15 06:53 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 04:41 PM
2504024,2025-04-15 11:56 AM,Superior Alarms,,warehouse@superioralarms.com,2025-04-15 05:41 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-04-15 11:56 AM
2504023,2025-04-14 10:40 AM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-04-14 10:40 AM,4,59,Issued RMA,SECO-LARM USA INC,2025-04-14 10:40 AM
2504018,2025-04-14 09:13 AM,"Green Mountain Security E/C, LLC",,keith@greenmtnsecurity.com,2025-04-11 11:56 AM,1,3,Completed,SECO-LARM USA INC,2025-05-14 04:28 PM
2504022,2025-04-14 10:22 AM,Security Equipment Supply,,mlachapelle@sesonline.com,2025-04-11 06:15 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 04:39 PM
2504017,2025-04-14 09:12 AM,Andiamo Services LLC,,jchamberlain@andiamoservicesllc.com,2025-04-09 02:50 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-04-14 09:12 AM
2504019,2025-04-14 09:13 AM,UHS Hardware,,amanda@uhs-hardware.com,2025-04-09 09:26 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 04:42 PM
2504016,2025-04-08 04:07 PM,Security Equipment Supply,,CReiber@sesonline.com,2025-04-08 01:52 PM,1,40,Completed,SECO-LARM USA INC,2025-06-09 01:17 PM
2504021,2025-04-14 10:21 AM,ELITE SECURITY SUPPLY LLC,,avo@elitesecuritysupply.com,2025-04-08 10:48 AM,1,3,Completed,SECO-LARM USA INC,2025-06-09 01:15 PM
2504020,2025-04-14 10:21 AM,IML Security Supply,,kyra.fankhauser@imlss.com,2025-04-08 08:16 AM,1,1,Completed,SECO-LARM USA INC,2025-06-25 10:23 AM
2504010,2025-04-07 02:29 PM,Cosesa in Guatemala,,marjorie.h@cosesa.com.gt,2025-04-07 02:29 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-04-07 02:29 PM
2503068,2025-04-04 02:49 PM,Gate Depot,,sales@gatedepot.com,2025-04-04 02:49 PM,1,1,Completed,SECO-LARM USA INC,2025-06-09 02:18 PM
2504015,2025-04-08 03:40 PM,Graybar,,corey.stene@graybar.com,2025-04-04 12:53 PM,1,1,Completed,SECO-LARM USA INC,2025-06-25 10:22 AM
2504009,2025-04-04 12:24 PM,Wesco Anixter Puerto Rico,,ameliadistributioncenter@seco-larm.com,2025-04-04 12:24 PM,4,82,Completed,SECO-LARM USA INC,2025-04-16 12:48 PM
2504012,2025-04-08 03:40 PM,"CC Sandulli Technology Contractor, LLC",,ccsandulli@msn.com,2025-04-04 11:07 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 07:49 AM
2504004,2025-04-04 08:50 AM,Southwest Automated Security- CHA,,cha-ship@southwestautomated.com,2025-04-04 08:50 AM,1,1,Completed,SECO-LARM USA INC,2025-06-25 10:22 AM
2504006,2025-04-04 08:51 AM,Canal Alarm Devices,,fahad.k@canalalarm.com,2025-04-04 07:32 AM,1,1,Completed,SECO-LARM USA INC,2025-04-16 04:52 PM
2504005,2025-04-04 08:51 AM,Quick key Locksmith,,storequickkey@gmail.com,2025-04-03 02:41 PM,1,1,Completed,SECO-LARM USA INC,2025-05-20 01:19 PM
2504003,2025-04-03 01:23 PM,ISTC,,nbezerra@istccorp.com,2025-04-03 01:23 PM,4,55,Issued RMA,SECO-LARM USA INC,2025-04-03 01:23 PM
2504002,2025-04-03 02:28 AM,ISEC-INTERNATIONAL SECURITY EXPERT,,ifigueroa@isecpr.com,2025-04-02 01:22 PM,1,2,Completed,SECO-LARM USA INC,2025-05-28 02:29 PM
2504007,2025-04-04 09:02 AM,Sergey Yakubov,,seryak56@gmail.com,2025-04-01 06:36 PM,1,1,Completed,SECO-LARM USA INC,2025-05-13 07:44 AM
2503067,2025-04-01 11:32 AM,BG Distribution,,Nvoyer@bgdistribution.ca,2025-04-01 11:32 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-04-01 11:32 AM
2504008,2025-04-04 09:40 AM,IML Security Supply,,kyra.fankhauser@imlss.com,2025-04-01 10:02 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 07:45 AM
2504013,2025-04-08 03:40 PM,Safeguard Security and Surveillance,,jeff@safeguardne.com,2025-04-01 07:38 AM,1,1,Completed,SECO-LARM USA INC,2025-05-20 01:22 PM
2504001,2025-04-03 02:26 AM,A1 SECURITY SUPPLY,,WILL@A1ALARM.COM,2025-03-31 12:55 PM,1,1,Completed,SECO-LARM USA INC,2025-07-07 10:40 AM
2503066,2025-04-01 09:16 AM,T.S DISTRIBUTORS,,etorres@tsdistributors,2025-03-31 10:35 AM,1,1,Completed,SECO-LARM USA INC,2025-04-11 04:23 PM
2503065,2025-04-01 09:15 AM,Wesco,,Whitney.Green@anixter.com,2025-03-31 10:28 AM,1,1,Completed,SECO-LARM USA INC,2025-04-16 04:56 PM
2503064,2025-04-01 09:14 AM,Mobile Communications of America (MCA),,deseanjenkins@callmc.com,2025-03-31 07:56 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-04-01 09:14 AM
2503062,2025-03-28 12:08 PM,Cherry SEC,,msgtcherry@yahoo.com,2025-03-28 12:08 PM,1,1,Completed,SECO-LARM USA INC,2025-04-16 04:52 PM
2503063,2025-04-01 08:45 AM,ISEC-INTERNATIONAL SECURITY EXPERT,,ifigueroa@isecpr.com,2025-03-28 11:44 AM,1,1,Completed,SECO-LARM USA INC,2025-07-09 07:59 AM
2503059,2025-03-27 04:54 PM,Winstronics,,winstronics@seco-larm.com,2025-03-27 04:54 PM,2,19,Completed,SECO-LARM USA INC,2025-03-27 04:57 PM
2504014,2025-04-08 03:40 PM,Metro Access Control LLC,,john@metroaccesscontrol.com,2025-03-27 12:09 PM,2,3,Issued RMA,SECO-LARM USA INC,2025-04-08 03:40 PM
2503061,2025-03-28 08:50 AM,Access Distribution Centre,,Returns@accessdistributioncentre.com,2025-03-27 11:56 AM,1,1,Completed,SECO-LARM USA INC,2025-04-16 04:53 PM
2503060,2025-03-28 08:49 AM,Wesco,,Whitney.Green@anixter.com,2025-03-27 10:23 AM,1,1,Completed,SECO-LARM USA INC,2025-04-16 04:54 PM
2503058,2025-03-27 09:11 AM,Mikes Plumbing Service,,mps3031@att.net,2025-03-27 09:11 AM,1,1,Completed,SECO-LARM USA INC,2025-04-04 09:52 AM
2503056,2025-03-26 12:46 PM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-03-26 11:29 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 07:47 AM
2503046,2025-03-26 11:08 AM,Mid-atlantic Entry Systems,,bryan@maentry.com,2025-03-26 06:48 AM,1,2,Completed,SECO-LARM USA INC,2025-04-16 04:50 PM
2503055,2025-03-26 11:23 AM,Security Data Supply of Raleigh,,rcombs@securitydatasupply.com,2025-03-26 05:46 AM,1,1,Completed,SECO-LARM USA INC,2025-04-16 10:19 AM
2503045,2025-03-25 08:25 AM,ALARMAX,,vmarsh@alarmax.com,2025-03-25 08:25 AM,1,1,Completed,SECO-LARM USA INC,2025-04-04 10:16 AM
2503047,2025-03-26 11:09 AM,Kinseth Hospitality,,bevans@kinseth.com,2025-03-25 08:10 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-03-26 11:09 AM
2503042,2025-03-24 01:03 PM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-03-24 01:03 PM,1,2,Completed,SECO-LARM USA INC,2025-04-08 08:47 AM
2503057,2025-03-26 12:47 PM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-03-24 11:18 AM,1,1,Completed,SECO-LARM USA INC,2025-06-13 11:40 AM
2503048,2025-03-26 11:10 AM,My Locksmith,,Mylocksmithla@gmail.com,2025-03-21 02:14 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-03-26 11:10 AM
2503041,2025-03-21 02:10 PM,Quick key Locksmith,,storequickkey@gmail.com,2025-03-21 01:29 PM,1,1,Completed,SECO-LARM USA INC,2025-04-08 05:14 PM
2503049,2025-03-26 11:11 AM,Wesco,,liane.allen@wescodist.com,2025-03-21 12:10 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-03-26 11:11 AM
2505040,2025-05-20 12:35 PM,EOS Trading Corp,,rma.vendors@eostrading.com,2025-03-21 08:28 AM,5,5,Issued RMA,SECO-LARM USA INC,2025-05-20 12:35 PM
2503036,2025-03-21 08:28 AM,Oscar Torres,,oltorres@torreselectrical.com,2025-03-21 08:28 AM,1,1,Completed,SECO-LARM USA INC,2025-04-08 04:57 PM
2505039,2025-05-20 12:34 PM,EOS Trading Corp,,rma.vendors@eostrading.com,2025-03-21 08:18 AM,5,5,Issued RMA,SECO-LARM USA INC,2025-05-20 12:34 PM
2503050,2025-03-26 11:12 AM,MultiSales Inc.,,purchasing@MultiSalesInc.com,2025-03-21 08:06 AM,1,1,Completed,SECO-LARM USA INC,2025-05-20 01:21 PM
2503040,2025-03-21 11:21 AM,Silmar electronics,,jsheffield@silmarelectronics.com,2025-03-21 07:14 AM,1,16,Completed,SECO-LARM USA INC,2025-04-16 10:47 AM
2503044,2025-03-24 03:42 PM,Patriot Technologies,,justin@patriottech.net,2025-03-21 06:14 AM,7,7,Completed,SECO-LARM USA INC,2025-06-11 03:50 PM
2503054,2025-03-26 11:23 AM,Security Options,,support@securityoptionsltd.com,2025-03-20 10:31 AM,1,1,Completed,SECO-LARM USA INC,2025-04-08 08:49 AM
2503051,2025-03-26 11:12 AM,"AAA Safe & Lock Company, Inc.",,jpcook1974@icloud.com,2025-03-19 04:24 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-03-26 11:12 AM
2503035,2025-03-19 01:11 PM,Wesco,,Whitney.Green@anixter.com,2025-03-19 12:40 PM,1,1,Completed,SECO-LARM USA INC,2025-04-04 09:57 AM
2503034,2025-03-19 08:46 AM,United Security & Control Systems,,sbaker@unitedsecurityva.com,2025-03-19 08:46 AM,1,2,Completed,SECO-LARM USA INC,2025-04-08 05:15 PM
2503052,2025-03-26 11:13 AM,Electronic Entry Distributors,,ltacheny@electronicentrydistributors.com,2025-03-19 08:32 AM,1,1,Completed,SECO-LARM USA INC,2025-04-08 05:14 PM
2503053,2025-03-26 11:13 AM,Tallatron Inc.,,David.mckleroy@gmail.com,2025-03-19 07:20 AM,1,2,Issued RMA,SECO-LARM USA INC,2025-03-26 11:13 AM
2503039,2025-03-21 08:43 AM,"Automated Gate Supply, Inc",,vernon@automatedgatesupply.net,2025-03-18 04:07 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-03-21 08:43 AM
2503038,2025-03-21 08:43 AM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-03-18 10:08 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 07:48 AM
2503037,2025-03-21 08:42 AM,BROOKLYN SUPPLY,,raizy@blvs.com,2025-03-18 09:32 AM,1,1,Completed,SECO-LARM USA INC,2025-06-13 11:03 AM
2503032,2025-03-19 01:12 PM,Wesco / Anixter,,ra-west-tri-edus@anixter.wescodist.com,2025-03-18 07:44 AM,1,1,Completed,SECO-LARM USA INC,2025-06-25 10:22 AM
2503031,2025-03-17 11:09 AM,UHS Hardware,,amanda@uhs-hardware.com,2025-03-17 10:04 AM,1,1,Completed,SECO-LARM USA INC,2025-04-11 04:23 PM
2503030,2025-03-17 11:09 AM,"Silmar Electronics, Inc.",,tokeefe@silmarelectronics.com,2025-03-17 05:24 AM,1,3,Completed,SECO-LARM USA INC,2025-04-04 10:23 AM
2503029,2025-03-17 11:09 AM,Silmar Electronics,,ialtmeyer@silmarelectronics.com,2025-03-14 12:46 PM,1,1,Completed,SECO-LARM USA INC,2025-04-04 09:42 AM
2503028,2025-03-17 11:07 AM,"S & O Enterprises, Inc.",,sanoent@cs.com,2025-03-14 11:23 AM,1,1,Completed,SECO-LARM USA INC,2025-05-13 04:37 PM
2503033,2025-03-17 11:28 AM,Security Options,,support@securityoptionsltd.com,2025-03-14 09:23 AM,1,1,Completed,SECO-LARM USA INC,2025-03-25 08:40 AM
2503017,2025-03-14 09:06 AM,NSI DISTRIBUTION INC,,alexs@nsidistribution.com,2025-03-14 09:06 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-03-14 09:06 AM
2503016,2025-03-14 09:02 AM,S.P.C.,,ksr@spctc.cr,2025-03-14 09:02 AM,4,4,Completed,SECO-LARM USA INC,2025-03-25 08:33 AM
2503027,2025-03-17 11:07 AM,Az. Cine Equipment,,Lee@Azcine.com,2025-03-14 08:56 AM,1,1,Completed,SECO-LARM USA INC,2025-04-11 04:19 PM
2503025,2025-03-17 11:06 AM,Charley's Southside Lock and Safe,,craig.charleyslock@ymail.com,2025-03-13 08:18 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-03-17 11:06 AM
2503026,2025-03-17 11:06 AM,"TEM Systems, LLC",,adminsc@temsystems.com,2025-03-13 08:07 AM,1,1,Completed,SECO-LARM USA INC,2025-04-11 04:20 PM
2503024,2025-03-17 11:05 AM,"A.F.Y. SECURITY DISTRIBUTORS, INC",,afylarry@hotmail.com,2025-03-13 07:57 AM,3,4,Completed,SECO-LARM USA INC,2025-04-04 10:03 AM
2503023,2025-03-17 11:05 AM,Sierra Structures,,donnie@sierrastructures.com,2025-03-13 04:24 AM,1,1,Issued RMA,SECO-LARM USA INC,2025-03-17 11:05 AM
2503022,2025-03-17 11:04 AM,Seaside Charter,,dbrown@seasidecharter.org,2025-03-13 03:33 AM,1,1,Completed,SECO-LARM USA INC,2025-04-08 05:16 PM
2503015,2025-03-11 05:10 PM,Anixter,,eder.trujillo@anixter.com,2025-03-11 05:10 PM,1,10,Completed,SECO-LARM USA INC,2025-04-03 08:49 AM
2503021,2025-03-17 11:04 AM,AVX Tech Warehouse,,warehouse@avx-tech.com,2025-03-11 02:33 PM,1,1,Completed,SECO-LARM USA INC,2025-03-25 01:09 PM
2503020,2025-03-17 11:01 AM,Access Distribution Centre,,Returns@accessdistributioncentre.com,2025-03-11 12:41 PM,1,1,Completed,SECO-LARM USA INC,2025-04-11 04:22 PM
2503019,2025-03-17 11:00 AM,Florida Gate Masters,,christopher@floridagatemasters.com,2025-03-11 12:07 PM,1,1,Issued RMA,SECO-LARM USA INC,2025-03-17 11:00 AM
2503006,2025-03-11 08:37 AM,Lone Star Systems Supply,,cynthiav@lonestar-us.com,2025-03-11 08:37 AM,2,2,Issued RMA,SECO-LARM USA INC,2025-03-11 08:37 AM
